Akun,Tweet,Lokasi
https://twitter.com/safitriSD3,"@xi157cm @ganjarpranowo Kedatangan pak presiden jokowi sudah di tunggu""",
https://twitter.com/BonorejoKyai,"@ganjarpranowo @jokowi Walaahh sdh klelep kebanjiran den pd hal sdh waspada, pie jal ?",
https://twitter.com/juwairiyyahh___,@ayydafryanti @ganjarpranowo itu adalah hal yang menunjukkan bahwa pak ganjar adalah sosok yang selalu menjaga lingkungan,
https://twitter.com/safitriSD3,@yaellahboy @ganjarpranowo Jateng jadi kur tertinggi nih luar biasa berkat pak Ganjar,
https://twitter.com/juwairiyyahh___,@RasSaaaaa @ganjarpranowo itu merupakan sebuah bukti bahwa pak ganjar sangat mencintai kebudayaan,
https://twitter.com/kienroberts,@nurrohmah___ @ganjarpranowo Pemimpin yang seperti ini yang dicari masyarakat selalu membantu masyarakatnya seperti memberikan bantuan dana,
https://twitter.com/safitriSD3,@silvia_padila @ganjarpranowo Alhamdulillah yaa blangkon nya bisa laku keras,
https://twitter.com/safitriSD3,@nurrohmah___ @ganjarpranowo Bantuan dari pak Ganjar Pranowo semoga aja bisa di manfaatkan dgn baik,
https://twitter.com/kienroberts,@itsliatrd_ @ganjarpranowo Sebab beliau pemimpin yang sangat peduli sehingga terus memfokuskan untuk membantu pembangunan desa keren sih Pak Ganjar,
https://twitter.com/safitriSD3,@itsliatrd_ @ganjarpranowo Dengan dana sebesar ini semoga masyarakat bisa sejahtera,
https://twitter.com/tjut_yatie9,@sikodoksakit @ch_chotimah2 @ganjarpranowo 😜😅,
